service_id,date,exception_type
050-21-1715102025-B#HH,20251023,2
050-21-1715102025-B#HH,20251026,2
050-21-1715102025-B#HH,20251028,2
050-21-1715102025-B#HH,20251029,2
050-33-1200082025-B#FL,20250802,2
050-34-0625092025-FL#B,20250906,2
050-34-0625092025-FL#B,20250907,2
050-9-0945092025-B#HH,20250907,2
050-9-0945092025-B#HH,20250908,2
050-9-0945092025-B#HH,20250915,2
050-9-0945092025-B#HH,20250922,2
050-9-0945092025-B#HH,20250929,2
052-52-0610062025-G#B,20250617,2
052-52-0610062025-G#B,20250624,2
052-53-1430062025-B#G,20250617,2
052-53-1430062025-B#G,20250624,2
057-10-1050102025-ST2#B,20251010,2
057-10-1050102025-ST2#B,20251016,2
057-10-1050102025-ST2#B,20251017,2
057-10-1050102025-ST2#B,20251021,2
057-11-2040082025-B#ST2,20250810,2
057-11-2040082025-B#ST2,20250817,2
057-11-2040092025-B#ST2,20250902,2
057-11-2040092025-B#ST2,20250908,2
057-11-2040092025-B#ST2,20250909,2
057-11-2040092025-B#ST2,20250915,2
057-11-2040102025-B#ST2,20251006,2
057-11-2040102025-B#ST2,20251009,2
057-122-1345102025-ST2#B,20251008,2
057-122-1345102025-ST2#B,20251010,2
057-122-1345102025-ST2#B,20251011,2
057-122-1345102025-ST2#B,20251014,2
057-122-1345102025-ST2#B,20251017,2
057-122-1345102025-ST2#B,20251018,2
057-122-1345102025-ST2#B,20251021,2
057-122-1345102025-ST2#B,20251022,2
057-7-1400092025-BBA#ST2,20250918,2
057-7-1400092025-BBA#ST2,20250922,2
057-9-1500082025-B#ST2,20250811,2
057-9-1500082025-B#ST2,20250814,2
060-1-0530062025-WIG#B,20250618,2
060-1-0530062025-WIG#B,20250619,2
060-1-0530062025-WIG#B,20250625,2
060-1-0530062025-WIG#B,20250626,2
060-1-0530072025-WIG#B,20250702,2
060-1-0530072025-WIG#B,20250703,2
060-1-0530072025-WIG#B,20250709,2
060-1-0530072025-WIG#B,20250710,2
060-1-0530092025-WIG#B,20250910,2
060-1-0530092025-WIG#B,20250911,2
060-1-0530092025-WIG#B,20250917,2
060-1-0530092025-WIG#B,20250918,2
060-1-0530092025-WIG#B,20250924,2
060-1-0530092025-WIG#B,20250925,2
060-2-0410062025-BAX#WIG,20250617,2
060-2-0410062025-BAX#WIG,20250618,2
060-2-0410062025-BAX#WIG,20250624,2
060-2-0410062025-BAX#WIG,20250625,2
060-2-0410072025-BAX#WIG,20250708,2
060-2-0410072025-BAX#WIG,20250709,2
060-2-0410092025-BAX#WIG,20250909,2
060-2-0410092025-BAX#WIG,20250910,2
060-2-0410092025-BAX#WIG,20250916,2
060-2-0410092025-BAX#WIG,20250917,2
060-2-0410092025-BAX#WIG,20250923,2
060-2-0410092025-BAX#WIG,20250924,2
060-58-0445102025-PRA#WIG,20251007,2
060-58-0445102025-PRA#WIG,20251008,2
060-58-0445102025-PRA#WIG,20251009,2
060-59-0405062025-WIG#HB,20250617,2
060-59-0405062025-WIG#HB,20250618,2
060-59-0405062025-WIG#HB,20250624,2
060-59-0405062025-WIG#HB,20250625,2
060-59-0405072025-WIG#HB,20250708,2
060-59-0405072025-WIG#HB,20250709,2
060-59-0405092025-WIG#HB,20250909,2
060-59-0405092025-WIG#HB,20250910,2
060-59-0405092025-WIG#HB,20250916,2
060-59-0405092025-WIG#HB,20250917,2
060-59-0405092025-WIG#HB,20250923,2
060-59-0405092025-WIG#HB,20250924,2
060-70-0740062025-HB#WIG,20250618,2
060-70-0740062025-HB#WIG,20250619,2
060-70-0740062025-HB#WIG,20250625,2
060-70-0740062025-HB#WIG,20250626,2
060-70-0740072025-HB#WIG,20250702,2
060-70-0740072025-HB#WIG,20250703,2
060-70-0740072025-HB#WIG,20250709,2
060-70-0740072025-HB#WIG,20250710,2
060-70-0740092025-HB#WIG,20250910,2
060-70-0740092025-HB#WIG,20250911,2
060-70-0740092025-HB#WIG,20250917,2
060-70-0740092025-HB#WIG,20250918,2
060-70-0740092025-HB#WIG,20250924,2
060-70-0740092025-HB#WIG,20250925,2
060-71-1740102025-WIG#PRA,20251006,2
060-71-1740102025-WIG#PRA,20251007,2
060-71-1740102025-WIG#PRA,20251008,2
065-11-1245102025-BAX#L,20251009,2
065-11-1245102025-BAX#L,20251016,2
065-11-1245102025-BAX#L,20251023,2
065-12-0730102025-L#BAX,20251010,2
065-12-0730102025-L#BAX,20251017,2
065-16-1630062025-L#BAX,20250616,2
065-16-1630062025-L#BAX,20250623,2
065-3-0645062025-BAX#L,20250616,2
065-3-0645062025-BAX#L,20250623,2
065-3-0645102025-BAX#L,20251010,2
065-3-0645102025-BAX#L,20251017,2
065-4-0700102025-L#BAX,20251003,2
065-4-0700102025-L#BAX,20251009,2
065-4-0700102025-L#BAX,20251016,2
065-4-0700102025-L#BAX,20251023,2
065-6-1000062025-L#BAX,20250609,2
065-6-1000102025-L#BAX,20251003,2
065-7-0545062025-BAX#L,20250617,2
065-7-0545062025-BAX#L,20250624,2
065-8-1030062025-L#BAX,20250616,2
065-8-1030062025-L#BAX,20250623,2
065-8-1030102025-L#BAX,20251010,2
065-8-1030102025-L#BAX,20251017,2
068-1-1030082025-PRA#F,20250826,2
068-1-1030082025-PRA#F,20250827,2
068-1-1030092025-PRA#F,20250902,2
068-1-1030092025-PRA#F,20250909,2
068-1-1030092025-PRA#F,20250916,2
068-1-1030092025-PRA#F,20250923,2
068-2-0700082025-F#PRA,20250827,2
068-2-0700082025-F#PRA,20250828,2
068-31-0930062025-BT#DU,20250623,2
068-31-0930062025-BT#DU,20250624,2
068-32-0750062025-DU#BT,20250624,2
068-32-0750062025-DU#BT,20250625,2
070-11-1440062025-DDH#BAX,20250609,2
070-22-0650062025-HH#DDH,20250609,2
070-26-1330062025-HH#BAX,20250615,2
070-26-1330062025-HH#BAX,20250622,2
070-5-0840062025-DDH#BAX,20250615,2
070-5-0840062025-DDH#BAX,20250622,2
075-90-0730062025-HH#AMD,20250621,2
075-91-1500062025-AMD#HH,20250621,2
075-92-0615062025-HH#AMD,20250621,2
075-93-1130062025-AMD#HH,20250621,2
075-93-1130062025-AMD#HH,20250622,2
076-3-0745072025-M#MIO,20250708,2
076-3-0745072025-M#MIO,20250709,2
076-8-0945072025-MIO#M,20250702,2
076-8-0945072025-MIO#M,20250703,2
076-8-0945072025-MIO#M,20250709,2
076-8-0945072025-MIO#M,20250710,2
081-32-1230062025-BNO#H,20250617,2
081-32-1230062025-BNO#H,20250618,2
081-32-1230062025-BNO#H,20250624,2
081-32-1230062025-BNO#H,20250625,2
081-32-1230082025-BNO#H,20250826,2
081-32-1230082025-BNO#H,20250827,2
081-32-1230092025-BNO#H,20250902,2
081-32-1230092025-BNO#H,20250909,2
081-32-1230092025-BNO#H,20250916,2
081-32-1230092025-BNO#H,20250923,2
081-55-0700062025-H#BNO,20250616,2
081-55-0700062025-H#BNO,20250623,2
081-55-0700082025-H#BNO,20250825,2
081-55-0700082025-H#BNO,20250828,2
081-61-0400062025-H#BNO,20250617,2
081-61-0400062025-H#BNO,20250618,2
081-61-0400062025-H#BNO,20250624,2
081-61-0400062025-H#BNO,20250625,2
081-61-0400082025-H#BNO,20250826,2
081-61-0400082025-H#BNO,20250827,2
081-61-0400092025-H#BNO,20250902,2
081-61-0400092025-H#BNO,20250909,2
081-61-0400092025-H#BNO,20250916,2
081-61-0400092025-H#BNO,20250923,2
081-68-1510062025-BNO#H,20250616,2
081-68-1510062025-BNO#H,20250623,2
081-68-1510082025-BNO#H,20250825,2
081-68-1510082025-BNO#H,20250828,2
090-3-0600062025-F#PQB,20250617,2
090-3-0600062025-F#PQB,20250618,2
090-3-0600062025-F#PQB,20250624,2
090-3-0600062025-F#PQB,20250625,2
090-3-0600102025-F#PQB,20251007,2
090-3-0600102025-F#PQB,20251008,2
090-3-0600102025-F#PQB,20251014,2
090-3-0600102025-F#PQB,20251015,2
090-4-1215062025-PQB#F,20250618,2
090-4-1215062025-PQB#F,20250619,2
090-4-1215062025-PQB#F,20250625,2
090-4-1215062025-PQB#F,20250626,2
